,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,phosphorus,X1,X2,X3,X4
873,Chhattisgarh,raipur,2005,kharif,Rice,518561.0,804924.0,0.0,626563.0,711370.0,1348.0,939.2
874,Chhattisgarh,raipur,2006,kharif,Rice,534394.0,785967.0,0.0,804924.0,626563.0,1206.7,1348.0
875,Chhattisgarh,raipur,2007,kharif,Rice,539878.0,805433.0,0.0,785967.0,804924.0,1434.2,1206.7
876,Chhattisgarh,raipur,2008,kharif,Rice,529148.0,691851.0,0.0,805433.0,785967.0,1114.5,1434.2
877,Chhattisgarh,raipur,2009,kharif,Rice,521918.0,753589.0,0.0,691851.0,805433.0,948.3,1114.5
878,Chhattisgarh,raipur,2010,kharif,Rice,545965.0,771395.0,0.0,753589.0,691851.0,1109.1,948.3
885,Chhattisgarh,rajnandgaon,2002,kharif,Rice,254729.0,193529.0,1.0,296457.0,210646.0,1082.165,1274.509
888,Chhattisgarh,rajnandgaon,2005,kharif,Rice,261961.0,357964.0,1.0,291457.0,357731.0,1568.8,1023.1
889,Chhattisgarh,rajnandgaon,2006,kharif,Rice,265967.0,357973.0,1.0,357964.0,291457.0,1127.6,1568.8
890,Chhattisgarh,rajnandgaon,2007,kharif,Rice,268022.0,290436.0,1.0,357973.0,357964.0,769.8,1127.6
891,Chhattisgarh,rajnandgaon,2008,kharif,Rice,271256.0,211856.0,1.0,290436.0,357973.0,812.7,769.8
892,Chhattisgarh,rajnandgaon,2009,kharif,Rice,269249.0,210540.0,1.0,211856.0,290436.0,734.9,812.7
893,Chhattisgarh,rajnandgaon,2010,kharif,Rice,274412.0,438569.0,1.0,210540.0,211856.0,1221.9,734.9
911,Chhattisgarh,surguja,2005,kharif,Rice,312299.0,341368.0,1.0,299182.0,404374.0,1120.1,971.6
912,Chhattisgarh,surguja,2006,kharif,Rice,313914.0,345995.0,1.0,341368.0,299182.0,1186.3,1120.1
913,Chhattisgarh,surguja,2007,kharif,Rice,311757.0,380351.0,1.0,345995.0,341368.0,1153.4,1186.3
914,Chhattisgarh,surguja,2008,kharif,Rice,311848.0,365590.0,1.0,380351.0,345995.0,1119.6,1153.4
915,Chhattisgarh,surguja,2009,kharif,Rice,307674.0,221619.0,1.0,365590.0,380351.0,616.8,1119.6
916,Chhattisgarh,surguja,2010,kharif,Rice,302922.0,323612.0,1.0,221619.0,365590.0,596.7,616.8
963,Gujarat,ahmadabad,2000,kharif,Rice,84100.0,37500.0,1.0,78900.0,72600.0,494.019,486.75800000000004
964,Gujarat,ahmadabad,2001,kharif,Rice,82000.0,144300.0,1.0,37500.0,78900.0,554.507,494.019
965,Gujarat,ahmadabad,2002,kharif,Rice,47500.0,39300.0,1.0,144300.0,37500.0,336.837,554.507
978,Gujarat,amreli,2001,kharif,Rice,100.0,100.0,1.0,100.0,100.0,743.828,567.964
981,Gujarat,anand,2005,kharif,Rice,82300.0,178500.0,1.0,175100.0,142700.0,1518.1,771.3
982,Gujarat,anand,2006,kharif,Rice,72400.0,125200.0,1.0,178500.0,175100.0,1049.7,1518.1
983,Gujarat,anand,2007,kharif,Rice,86100.0,200300.0,1.0,125200.0,178500.0,898.1,1049.7
984,Gujarat,anand,2008,kharif,Rice,88200.0,174400.0,1.0,200300.0,125200.0,760.2,898.1
985,Gujarat,anand,2009,kharif,Rice,75200.0,192700.0,1.0,174400.0,200300.0,357.1,760.2
986,Gujarat,anand,2010,kharif,Rice,87700.0,185200.0,1.0,192700.0,174400.0,863.5,357.1
991,Gujarat,bharuch,2000,kharif,Rice,27900.0,17600.0,0.0,23700.0,25200.0,873.82,907.2489999999999
992,Gujarat,bharuch,2001,kharif,Rice,24200.0,25200.0,0.0,17600.0,23700.0,932.7439999999999,873.82
993,Gujarat,bharuch,2002,kharif,Rice,23700.0,24200.0,0.0,25200.0,17600.0,659.664,932.7439999999999
1006,Gujarat,bhavnagar,2002,kharif,Rice,100.0,100.0,0.0,200.0,200.0,551.186,835.2639999999999
1034,Gujarat,gandhinagar,2000,kharif,Rice,7600.0,17100.0,1.0,24000.0,15600.0,595.1,548.0
1035,Gujarat,gandhinagar,2001,kharif,Rice,7000.0,17500.0,1.0,17100.0,24000.0,613.1,595.1
1036,Gujarat,gandhinagar,2002,kharif,Rice,4600.0,9900.0,1.0,17500.0,17100.0,353.7,613.1
1039,Gujarat,gandhinagar,2005,kharif,Rice,10000.0,27200.0,1.0,29100.0,35200.0,1410.7,758.7
1040,Gujarat,gandhinagar,2006,kharif,Rice,11300.0,25600.0,1.0,27200.0,29100.0,1055.8,1410.7
1041,Gujarat,gandhinagar,2007,kharif,Rice,12800.0,32000.0,1.0,25600.0,27200.0,1101.4,1055.8
1042,Gujarat,gandhinagar,2008,kharif,Rice,12800.0,26900.0,1.0,32000.0,25600.0,740.4,1101.4
1043,Gujarat,gandhinagar,2009,kharif,Rice,10600.0,22200.0,1.0,26900.0,32000.0,510.1,740.4
1044,Gujarat,gandhinagar,2010,kharif,Rice,16000.0,36900.0,1.0,22200.0,26900.0,921.2,510.1
1050,Gujarat,kheda,2000,kharif,Rice,112500.0,73400.0,1.0,363900.0,286400.0,626.616,603.653
1051,Gujarat,kheda,2001,kharif,Rice,171800.0,308400.0,1.0,73400.0,363900.0,629.335,626.616
1052,Gujarat,kheda,2002,kharif,Rice,71200.0,93500.0,1.0,308400.0,73400.0,415.0,629.335
1055,Gujarat,kheda,2005,kharif,Rice,89700.0,218500.0,1.0,223900.0,198900.0,1138.7,830.6
1056,Gujarat,kheda,2006,kharif,Rice,92400.0,169300.0,1.0,218500.0,223900.0,1412.5,1138.7
1057,Gujarat,kheda,2007,kharif,Rice,99800.0,237400.0,1.0,169300.0,218500.0,1143.9,1412.5
1058,Gujarat,kheda,2008,kharif,Rice,101100.0,211600.0,1.0,237400.0,169300.0,758.1,1143.9
1059,Gujarat,kheda,2009,kharif,Rice,87100.0,201300.0,1.0,211600.0,237400.0,450.9,758.1
1060,Gujarat,kheda,2010,kharif,Rice,87300.0,210500.0,1.0,201300.0,211600.0,847.0,450.9
1065,Gujarat,mahesana,2000,kharif,Rice,10200.0,7100.0,0.0,17200.0,22200.0,538.7330000000001,498.522
1066,Gujarat,mahesana,2001,kharif,Rice,12600.0,23600.0,0.0,7100.0,17200.0,600.555,538.7330000000001
1067,Gujarat,mahesana,2002,kharif,Rice,3700.0,5300.0,0.0,23600.0,7100.0,314.315,600.555
1080,Gujarat,narmada,2005,kharif,Rice,10800.0,8600.0,0.0,11400.0,10800.0,1154.0,1074.0
1081,Gujarat,narmada,2006,kharif,Rice,13000.0,9700.0,0.0,8600.0,11400.0,1492.5,1154.0
1082,Gujarat,narmada,2007,kharif,Rice,13600.0,11600.0,0.0,9700.0,8600.0,1356.2,1492.5
1083,Gujarat,narmada,2008,kharif,Rice,15200.0,13700.0,0.0,11600.0,9700.0,1102.8,1356.2
1084,Gujarat,narmada,2009,kharif,Rice,15000.0,8200.0,0.0,13700.0,11600.0,789.2,1102.8
