,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,Value,X1,X2
241,Himachal Pradesh,una,2007,kharif,Rice,2023,4651.0,2.299060801,4464.0,3311.0
242,Himachal Pradesh,una,2008,kharif,Rice,1803,4029.0,2.234608985,4651.0,4464.0
243,Himachal Pradesh,una,2010,kharif,Rice,1919,5277.0,2.749869724,4029.0,4651.0
246,Punjab,amritsar,2004,kharif,Rice,334000,1034000.0,3.095808383,872000.0,879000.0
247,Punjab,amritsar,2005,kharif,Rice,345000,1003000.0,2.907246377,1034000.0,872000.0
248,Punjab,amritsar,2006,kharif,Rice,178000,538000.0,3.02247191,1003000.0,1034000.0
249,Punjab,amritsar,2007,kharif,Rice,178000,546000.0,3.06741573,538000.0,1003000.0
250,Punjab,amritsar,2008,kharif,Rice,183000,532000.0,2.907103825,546000.0,538000.0
251,Punjab,amritsar,2009,kharif,Rice,185000,501000.0,2.708108108,532000.0,546000.0
252,Punjab,amritsar,2010,kharif,Rice,186000,503000.0,2.704301075,501000.0,532000.0
255,Punjab,barnala,2009,kharif,Rice,104000,496000.0,4.769230769,485000.0,466000.0
256,Punjab,barnala,2010,kharif,Rice,105000,465000.0,4.428571429,496000.0,485000.0
259,Punjab,bathinda,2004,kharif,Rice,102000,415000.0,4.068627451,419000.0,367000.0
260,Punjab,bathinda,2005,kharif,Rice,95000,385000.0,4.052631579,415000.0,419000.0
261,Punjab,bathinda,2006,kharif,Rice,87000,358000.0,4.114942529,385000.0,415000.0
262,Punjab,bathinda,2007,kharif,Rice,86000,368000.0,4.279069767,358000.0,385000.0
263,Punjab,bathinda,2008,kharif,Rice,97000,427000.0,4.402061856,368000.0,358000.0
264,Punjab,bathinda,2009,kharif,Rice,104000,476000.0,4.576923077,427000.0,368000.0
265,Punjab,bathinda,2010,kharif,Rice,107000,437000.0,4.08411215,476000.0,427000.0
268,Punjab,faridkot,2004,kharif,Rice,88000,337000.0,3.829545455,308000.0,280000.0
269,Punjab,faridkot,2005,kharif,Rice,86000,339000.0,3.941860465,337000.0,308000.0
270,Punjab,faridkot,2006,kharif,Rice,85000,338000.0,3.976470588,339000.0,337000.0
271,Punjab,faridkot,2007,kharif,Rice,87000,351000.0,4.034482759,338000.0,339000.0
272,Punjab,faridkot,2008,kharif,Rice,95000,414000.0,4.357894737,351000.0,338000.0
273,Punjab,faridkot,2009,kharif,Rice,98000,414000.0,4.224489796,414000.0,351000.0
274,Punjab,faridkot,2010,kharif,Rice,101000,409000.0,4.04950495,414000.0,414000.0
277,Punjab,gurdaspur,2004,kharif,Rice,202000,641000.0,3.173267327,587000.0,547000.0
278,Punjab,gurdaspur,2005,kharif,Rice,190000,590000.0,3.105263158,641000.0,587000.0
279,Punjab,gurdaspur,2006,kharif,Rice,201000,636000.0,3.164179104,590000.0,641000.0
280,Punjab,gurdaspur,2007,kharif,Rice,191000,617000.0,3.230366492,636000.0,590000.0
281,Punjab,gurdaspur,2008,kharif,Rice,201000,663000.0,3.298507463,617000.0,636000.0
282,Punjab,gurdaspur,2009,kharif,Rice,204000,640000.0,3.137254902,663000.0,617000.0
283,Punjab,gurdaspur,2010,kharif,Rice,204000,705000.0,3.455882353,640000.0,663000.0
286,Punjab,hoshiarpur,2004,kharif,Rice,58000,171000.0,2.948275862,179000.0,159000.0
287,Punjab,hoshiarpur,2005,kharif,Rice,61000,182000.0,2.983606557,171000.0,179000.0
288,Punjab,hoshiarpur,2006,kharif,Rice,56000,157000.0,2.803571429,182000.0,171000.0
